0,1,2,3,4,5
201915,79,I`ll Never Love Again (Film Version),Lady GaGa,A Star Is Born Soundtrack,"POP, 국외영화"
201915,85,Always Remember Us This Way,Lady GaGa,A Star Is Born Soundtrack,"POP, 국외영화"
201915,98,Bohemian Rhapsody,Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody OST),"록/메탈, 국외영화"
201916,7,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),"랩/힙합, 국외영화"
201916,14,See You Again (폴 워커 추모 엔딩곡),Charlie Puth,분노의 질주: 더 세븐 OST,"랩/힙합, 국외영화"
201916,20,Lost Stars,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,"POP, 록/메탈, 국외영화"
201916,21,Shallow,Lady GaGa,A Star Is Born Soundtrack,"POP, 국외영화"
201916,33,"City Of Stars (From ""La La Land"" Soundtrack)",Ryan Gosling,라라 랜드 OST,"POP, 국외영화"
201916,40,Strawberries & Cigarettes,Troye Sivan,"Love, Simon OST (영화 ‘러브 사이먼’ 오리지널 사운드트랙)","POP, 국외영화"
201916,42,How Long Will I Love You,Ellie Goulding,어바웃타임 OST,"록/메탈, 국외영화"
201916,64,This Is Me,Keala Settle,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201916,69,알고 있잖아,그_냥,연애혁명 OST Part.2,"발라드, 애니메이션/웹툰"
201916,70,희재,성시경,국화꽃 향기 OST,"발라드, 국내영화"
201916,79,I`ll Never Love Again (Film Version),Lady GaGa,A Star Is Born Soundtrack,"POP, 국외영화"
201916,87,Always Remember Us This Way,Lady GaGa,A Star Is Born Soundtrack,"POP, 국외영화"
201917,6,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),"랩/힙합, 국외영화"
201917,13,See You Again (폴 워커 추모 엔딩곡),Charlie Puth,분노의 질주: 더 세븐 OST,"랩/힙합, 국외영화"
201917,18,Lost Stars,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,"POP, 록/메탈, 국외영화"
201917,22,Shallow,Lady GaGa,A Star Is Born Soundtrack,"POP, 국외영화"
201917,32,"City Of Stars (From ""La La Land"" Soundtrack)",Ryan Gosling,라라 랜드 OST,"POP, 국외영화"
201917,39,How Long Will I Love You,Ellie Goulding,어바웃타임 OST,"록/메탈, 국외영화"
