yyyyWW,Date,Rank,Title,Code,OpenDate,Weekly,Total,Genre
201816,20180416~20180422,5,바람 바람 바람,20153447,2018-04-05,149810,1159447,[{'genreNm': '코미디'}]
201816,20180416~20180422,6,나를 기억해,20177266,2018-04-19,106442,107275,"[{'genreNm': '미스터리'}, {'genreNm': '범죄'}, {'genreNm': '스릴러'}]"
201816,20180416~20180422,7,곤지암,20180804,2018-03-28,95119,2662377,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]"
201816,20180416~20180422,8,덕구,20181561,2018-04-05,45043,292804,[{'genreNm': '드라마'}]
201816,20180416~20180422,9,정글번치: 최강 악당의 등장,20182360,2018-04-19,29028,31087,[{'genreNm': '애니메이션'}]
201816,20180416~20180422,10,크리미널 스쿼드,20182701,2018-04-19,21362,21562,"[{'genreNm': '범죄'}, {'genreNm': '액션'}]"
201817,20180423~20180429,1,어벤져스: 인피니티 워,20177478,2018-04-25,4764495,4764495,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]"
201817,20180423~20180429,2,램페이지,20176917,2018-04-12,113177,1372657,[{'genreNm': '액션'}]
201817,20180423~20180429,3,"그날, 바다",20182352,2018-04-12,90514,476295,[{'genreNm': '다큐멘터리'}]
201817,20180423~20180429,4,콰이어트 플레이스,20181788,2018-04-12,42373,502875,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}, {'genreNm': '드라마'}]"
201817,20180423~20180429,5,살인소설,20167007,2018-04-25,37962,38368,[{'genreNm': '스릴러'}]
201817,20180423~20180429,6,당갈,20182561,2018-04-25,36136,40846,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]"
201817,20180423~20180429,7,바람 바람 바람,20153447,2018-04-05,32329,1191776,[{'genreNm': '코미디'}]
201817,20180423~20180429,8,나를 기억해,20177266,2018-04-19,30923,138198,"[{'genreNm': '미스터리'}, {'genreNm': '범죄'}, {'genreNm': '스릴러'}]"
201817,20180423~20180429,9,레디 플레이어 원,20171122,2018-03-28,23738,2246322,"[{'genreNm': '액션'}, {'genreNm': 'SF'}, {'genreNm': '어드벤처'}]"
201817,20180423~20180429,10,레오나르도 다 빈치,20183195,2018-04-26,17547,18140,[{'genreNm': '애니메이션'}]
201818,20180430~20180506,1,어벤져스: 인피니티 워,20177478,2018-04-25,3733415,8497910,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]"
201818,20180430~20180506,2,챔피언,20189783,2018-05-01,700520,701215,[{'genreNm': '드라마'}]
201818,20180430~20180506,3,얼리맨,20182984,2018-05-03,65498,69245,[{'genreNm': '애니메이션'}]
201818,20180430~20180506,4,"그날, 바다",20182352,2018-04-12,43225,519520,[{'genreNm': '다큐멘터리'}]
201818,20180430~20180506,5,커다랗고 커다랗고 커다란 배,20182989,2018-05-03,41194,42182,[{'genreNm': '애니메이션'}]
201818,20180430~20180506,6,매직빈,20182385,2018-05-03,37596,38796,[{'genreNm': '애니메이션'}]
201818,20180430~20180506,7,레오나르도 다 빈치,20183195,2018-04-26,33078,51218,[{'genreNm': '애니메이션'}]
201818,20180430~20180506,8,레슬러,20177005,2018-05-09,30072,32698,"[{'genreNm': '드라마'}, {'genreNm': '코미디'}]"
201818,20180430~20180506,9,당갈,20182561,2018-04-25,19346,60192,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]"
201818,20180430~20180506,10,원더스트럭,20176069,2018-05-03,13100,13987,[{'genreNm': '드라마'}]
201819,20180507~20180513,1,어벤져스: 인피니티 워,20177478,2018-04-25,1636058,10133968,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]"
201819,20180507~20180513,2,레슬러,20177005,2018-05-09,504073,536771,"[{'genreNm': '드라마'}, {'genreNm': '코미디'}]"
201819,20180507~20180513,3,챔피언,20189783,2018-05-01,366339,1067554,[{'genreNm': '드라마'}]
201819,20180507~20180513,4,커다랗고 커다랗고 커다란 배,20182989,2018-05-03,47395,89577,[{'genreNm': '애니메이션'}]
201819,20180507~20180513,5,얼리맨,20182984,2018-05-03,46760,116005,[{'genreNm': '애니메이션'}]
201819,20180507~20180513,6,당갈,20182561,2018-04-25,24574,84766,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]"
201819,20180507~20180513,7,루비 스팍스,20137352,2018-05-10,18035,18699,"[{'genreNm': '코미디'}, {'genreNm': '판타지'}]"
201819,20180507~20180513,8,"부르고뉴, 와인에서 찾은 인생",20176067,2018-05-03,16249,26191,[{'genreNm': '드라마'}]
201819,20180507~20180513,9,"그날, 바다",20182352,2018-04-12,15145,534665,[{'genreNm': '다큐멘터리'}]
201819,20180507~20180513,10,매직빈,20182385,2018-05-03,15081,53877,[{'genreNm': '애니메이션'}]
201820,20180514~20180520,1,데드풀 2,20176848,2018-05-16,1972064,1973335,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}, {'genreNm': 'SF'}]"
201820,20180514~20180520,2,어벤져스: 인피니티 워,20177478,2018-04-25,556003,10689971,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]"
201820,20180514~20180520,3,버닝,20173202,2018-05-17,277891,277891,[{'genreNm': '미스터리'}]
201820,20180514~20180520,4,레슬러,20177005,2018-05-09,187756,724527,"[{'genreNm': '드라마'}, {'genreNm': '코미디'}]"
201820,20180514~20180520,5,피터 래빗,20183084,2018-05-16,110669,112486,"[{'genreNm': '애니메이션'}, {'genreNm': '가족'}]"
201820,20180514~20180520,6,챔피언,20189783,2018-05-01,49985,1117539,[{'genreNm': '드라마'}]
